Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,2,EG1903-ND,SWITCH SLIDE SPDT 200MA 30V,,2,0,0.58000,1.16,
2,2,P8082SCT-ND,SWITCH TACTILE SPST-NO 0.02A 15V,,2,0,0.23000,0.46,
3,6,TC7650CPA-ND,IC OPAMP CHOPPER 2MHZ 8DIP,,6,0,3.61000,21.66,
4,4,AD627ANZ-ND,IC OPAMP INSTR 80KHZ RRO 8DIP,,4,0,8.53000,34.12,
5,2,296-34316-5-ND,IC OPAMP GP 12MHZ RRO 8DIP,,2,0,0.84000,1.68,
6,4,296-1965-5-ND,IC REG LINEAR 3V 250MA 8PDIP,,4,0,2.01000,8.04,
7,2,MCP4921-E/P-ND,IC DAC 12BIT SNGL W/SPI 8DIP,,2,0,2.09000,4.18,
8,2,1568-1345-ND,SPARKFUN MICROSD TRANSFLASH BREA,,2,0,3.95000,7.90,
9,2,296-11547-5-ND,IC MCU SUPERVISOR 8-DIP,,2,0,3.76000,7.52,
10,2,LTC1152CN8#PBF-ND,IC OPAMP CHOPPER 700KHZ RRO 8DIP,,2,0,6.15000,12.30,
11,2,MCP6002-I/P-ND,IC OPAMP GP 1MHZ RRO 8DIP,,2,0,0.35000,0.70,
12,6,296-21908-5-ND,IC SWITCH SPST 8DIP,,6,0,0.76000,4.56,
13,2,296-3504-5-ND,IC GATE NAND 2CH 2-INP 8-DIP,,2,0,0.54000,1.08,
14,16,1N5234BFSCT-ND,DIODE ZENER 6.2V 500MW DO35,,16,0,0.12100,1.94,
15,2,PA0020-ND,SSOP-28 TO DIP-28 SMT ADAPTER,,2,0,5.79000,11.58,
16,2,MCP3912A1-E/SS-ND,IC ENERGY METER FRONT 4CH 28SSOP,,2,0,3.42000,6.84,
17,2,X980-ND,CRYSTAL 3.2768MHZ 17PF T/H,,2,0,0.60000,1.20,
18,1,1568-1353-ND,SPARKFUN SIMBLEE BLE BREAKOUT -,,1,0,24.95000,24.95,
19,4,490-8653-ND,CAP CER 18PF 50V NP0 RADIAL,,4,0,0.37000,1.48,
20,2,490-9273-1-ND,CAP CER 10000PF 1KV X7R RADIAL,,2,0,0.73000,1.46,
21,28,490-8815-ND,CAP CER 0.1UF 50V X7R RADIAL,,28,0,0.19900,5.57,
22,26,490-9146-1-ND,CAP CER 1UF 50V X7R RADIAL,,26,0,0.36400,9.46,
23,6,490-14506-ND,CAP CER 10UF 25V X7S RADIAL,,6,0,0.80000,4.80,
24,4,490-14507-ND,CAP CER 22UF 25V X7S RADIAL,,4,0,1.40000,5.60,
25,2,490-16956-ND,CAP CER 47UF 25V X7S RADIAL,,2,0,2.31000,4.62,
26,2,P100W-1CT-ND,RES 100 OHM 1W 5% AXIAL,,2,0,0.23000,0.46,
27,10,P1.0KW-2CT-ND,RES 1K OHM 2W 5% AXIAL,,10,0,0.26200,2.62,
28,4,P2.0KW-1BK-ND,RES 2K OHM 1W 5% AXIAL,,4,0,0.26000,1.04,
29,2,P10KW-1BK-ND,RES 10K OHM 1W 5% AXIAL,,2,0,0.24000,0.48,
30,20,P100KW-2BK-ND,RES 100K OHM 2W 5% AXIAL,,20,0,0.26300,5.26,
31,8,330KZCT-ND,RES 330K OHM 2W 5% AXIAL,,8,0,0.19000,1.52,
32,4,SM102035003FE-ND,RES 500K OHM 1W 1% RADIAL,,4,0,4.40000,17.60,
33,12,OY105KE-ND,RES 1M OHM 2W 10% AXIAL,,12,0,2.22800,26.74,
34,2,455-1704-ND,CONN HEADER PH TOP 2POS 2MM,,2,0,0.17000,0.34,
35,4,S7002-ND,CONN HEADER FEMALE 4POS .1" TIN,,4,0,0.45000,1.80,
36,4,S7006-ND,CONN HEADER FEMALE 8POS .1" TIN,,4,0,0.65000,2.60,
37,2,S9016E-08-ND,CONN HEADER .050" 8POS PCB R/A,,2,0,0.78000,1.56,
38,2,S9014E-08-ND,CONN HEADER .050" 8POS PCB GOLD,,2,0,0.72000,1.44,
39,4,754-1914-ND,LED BLUE CLEAR 3MM ROUND T/H,,4,0,0.56000,2.24,
40,2,497-2492-1-ND,DIODE SCHOTTKY 30V 200MA DO35,,2,0,0.47000,0.94,
